,Pincode,latitude,longitude,BB_lat_1,BB_lat_2,BB_lon_1,BB_lon_2
0,560001,12.9730128,77.6035673,12.9729628,12.9730628,77.6035173,77.6036173
1,560002,12.9650043,77.579972,12.9649543,12.9650543,77.579922,77.580022
2,560003,12.998544,77.570474,12.998494,12.998594,77.570424,77.570524
3,560004,12.9389507,77.5739816,12.9389007,12.9390007,77.5739316,77.5740316
4,560005,,,,,,
5,560006,,,,,,
6,560007,12.9686203,77.6310733,12.9685703,12.9686703,77.6310233,77.6311233
7,560008,,,,,,
8,560009,12.9759717,77.5762056,12.9759217,12.9760217,77.5761556,77.5762556
9,560010,12.9910376,77.5496852,12.9909876,12.9910876,77.5496352,77.5497352
10,560011,,,,,,
11,560012,,,,,,
12,560013,13.0384651,77.5370478,13.0384151,13.0385151,77.5369978,77.5370978
13,560015,,,,,,
14,560016,12.9934477,77.5548788,12.9933977,12.9934977,77.5548288,77.5549288
15,560017,12.9583053,77.6607098,12.9582553,12.9583553,77.6606598,77.6607598
16,560018,12.9646751,77.5739449,12.9646251,12.9647251,77.5738949,77.5739949
17,560020,12.9897349,77.5782216,12.9896849,12.9897849,77.5781716,77.5782716
18,560021,12.9938396,77.5556207,12.9937896,12.9938896,77.5555707,77.5556707
19,560022,13.025687,77.547708,13.025637,13.025737,77.547658,77.547758
20,560023,12.977376,77.5641886,12.977326,12.977426,77.5641386,77.5642386
21,560024,13.0236925,77.5843619,13.0236425,13.0237425,77.5843119,77.5844119
22,560025,,,,,,
23,560026,,,,,,
24,560027,12.9594416,77.6001287,12.9593916,12.9594916,77.6000787,77.6001787
25,560029,12.9238253,77.6094141,12.9237753,12.9238753,77.6093641,77.6094641
26,560030,,,,,,
27,560032,,,,,,
28,560033,,,,,,
29,560034,,,,,,
30,560035,12.9385226,77.6267455,12.9384726,12.9385726,77.6266955,77.6267955
31,560036,12.987086,77.7369762,12.987036,12.987136,77.7369262,77.7370262
32,560037,12.9706141,77.6889474,12.9705641,12.9706641,77.6888974,77.6889974
33,560038,,,,,,
34,560040,12.9789189,77.5439537,12.9788689,12.9789689,77.5439037,77.5440037
35,560041,12.9245272,77.5870647,12.9244772,12.9245772,77.5870147,77.5871147
36,560042,12.9747158,77.6144246,12.9746658,12.9747658,77.6143746,77.6144746
37,560043,,,,,,
38,560045,13.0572067,77.624549,13.0571567,13.0572567,77.624499,77.624599
39,560046,,,,,,
40,560047,12.9662165,77.6142541,12.9661665,12.9662665,77.6142041,77.6143041
41,560048,12.9925026,77.6904602,12.9924526,12.9925526,77.6904102,77.6905102
42,560049,12.987086,77.7369762,12.987036,12.987136,77.7369262,77.7370262
43,560050,,,,,,
44,560051,,,,,,
45,560053,12.9715696,77.5945536,12.9715196,12.9716196,77.5945036,77.5946036
46,560054,,,,,,
47,560055,13.0124479,77.5564726,13.0123979,13.0124979,77.5564226,77.5565226
48,560056,12.9515196,77.4951282,12.9514696,12.9515696,77.4950782,77.4951782
49,560057,,,,,,
50,560058,13.0350701,77.5276471,13.0350201,13.0351201,77.5275971,77.5276971
51,560059,12.9195592,77.5005615,12.9195092,12.9196092,77.5005115,77.5006115
52,560060,12.9154233,77.4812331,12.9153733,12.9154733,77.4811831,77.4812831
53,560061,,,,,,
54,560062,12.8655625,77.5215685,12.8655125,12.8656125,77.5215185,77.5216185
55,560063,12.8987251,77.6393218,12.8986751,12.8987751,77.6392718,77.6393718
56,560064,,,,,,
57,560065,13.0949544,77.5730358,13.0949044,13.0950044,77.5729858,77.5730858
58,560066,13.0247578,77.7653866,13.0247078,13.0248078,77.7653366,77.7654366
59,560067,12.9936758,77.747265,12.9936258,12.9937258,77.747215,77.747315
60,560068,12.9067944,77.6032635,12.9067444,12.9068444,77.6032135,77.6033135
61,560070,12.9229681,77.5644048,12.9229181,12.9230181,77.5643548,77.5644548
62,560071,,,,,,
63,560072,12.9749377,77.5147357,12.9748877,12.9749877,77.5146857,77.5147857
64,560073,13.0555958,77.4811299,13.0555458,13.0556458,77.4810799,77.4811799
65,560074,,,,,,
66,560075,,,,,,
67,560076,12.9118523,77.6081385,12.9118023,12.9119023,77.6080885,77.6081885
68,560077,13.0550263,77.6675393,13.0549763,13.0550763,77.6674893,77.6675893
69,560078,12.9650741,77.5798241,12.9650241,12.9651241,77.5797741,77.5798741
70,560079,12.9754379,77.5460649,12.9753879,12.9754879,77.5460149,77.5461149
71,560080,,,,,,
72,560081,,,,,,
73,560082,,,,,,
74,560083,,,,,,
75,560084,13.007577,77.6231847,13.007527,13.007627,77.6231347,77.6232347
76,560085,12.9359738,77.5433996,12.9359238,12.9360238,77.5433496,77.5434496
77,560086,13.0023552,77.544116,13.0023052,13.0024052,77.544066,77.544166
78,560087,,,,,,
79,560088,,,,,,
80,560089,,,,,,
81,560090,,,,,,
82,560091,12.9849522,77.5104461,12.9849022,12.9850022,77.5103961,77.5104961
83,560092,,,,,,
84,560093,,,,,,
85,560094,13.0256051,77.5774892,13.0255551,13.0256551,77.5774392,77.5775392
86,560095,12.9452454,77.6190825,12.9451954,12.9452954,77.6190325,77.6191325
87,560096,,,,,,
88,560097,,,,,,
89,560098,12.9162037,77.5028546,12.9161537,12.9162537,77.5028046,77.5029046
90,560099,12.8124024,77.6590661,12.8123524,12.8124524,77.6590161,77.6591161
91,560100,12.8413312,77.662315,12.8412812,12.8413812,77.662265,77.662365
92,560102,12.917377,77.6512743,12.917327,12.917427,77.6512243,77.6513243
93,560103,12.9230309,77.681318,12.9217387,12.9239209,77.6810566,77.6818708
94,560104,,,,,,
95,560105,12.82109305,77.6598794627691,12.8199633,12.8219771,77.6593138,77.6603912
96,560107,,,,,,
97,560108,,,,,,
98,560109,,,,,,
99,560110,,,,,,
100,560111,,,,,,
101,560300,,,,,,
102,561101,,,,,,
103,561201,,,,,,
104,561203,,,,,,
105,561204,,,,,,
106,561205,,,,,,
107,562102,,,,,,
108,562106,12.82109305,77.6598794627691,12.8199633,12.8219771,77.6593138,77.6603912
109,562107,12.82109305,77.6598794627691,12.8199633,12.8219771,77.6593138,77.6603912
110,562109,,,,,,
111,562110,,,,,,
112,562111,,,,,,
113,562114,,,,,,
114,562117,,,,,,
115,562120,,,,,,
116,562122,,,,,,
117,562123,,,,,,
118,562125,12.8876146,77.7390028,12.8875646,12.8876646,77.7389528,77.7390528
119,562126,,,,,,
120,562127,,,,,,
121,562128,,,,,,
122,562129,,,,,,
123,562130,,,,,,
124,562132,,,,,,
125,562135,,,,,,
126,562149,,,,,,
127,562157,,,,,,
128,562159,,,,,,
129,562162,,,,,,
130,562163,,,,,,
131,562164,,,,,,
