,Village/Locality name,Officename ( BO/SO/HO),latitude,longitude,BB_lat_1,BB_lat_2,BB_lon_1,BB_lon_2,Pincode,Sub-distname,Districtname,StateName
0,Bangalore North,Vidhana Soudha S.O,12.979119800000001,77.5912997,12.8340125,13.143664900000001,77.4601025,77.7840515,560001,Bangalore North,BANGALORE,KARNATAKA
1,Bangalore South,Bangalore Corporation Building S.O,12.979119800000001,77.5912997,12.8340125,13.143664900000001,77.4601025,77.7840515,560002,Bangalore South,BANGALORE,KARNATAKA
2,Venkatapura,Koramangala I Block S.O,13.1141369,77.7819989,13.0941369,13.134136900000001,77.76199890000001,77.8019989,560034,Bangalore North,BANGALORE,KARNATAKA
3,Ambalipura,Koramangala S.O,13.0698864,77.879654,13.0498864,13.0898864,77.859654,77.899654,560034,Bangalore South,BANGALORE,KARNATAKA
4,Haralur,Koramangala S.O,13.218450899999999,77.75910490000001,13.1984509,13.238450899999998,77.73910490000002,77.77910490000001,560034,Bangalore South,BANGALORE,KARNATAKA
5,Agara,Koramangala S.O,12.8446015,77.48793979999999,12.8246015,12.8646015,77.4679398,77.50793979999999,560034,Bangalore South,BANGALORE,KARNATAKA
6,Chikkakannalli,Carmelram S.O,,,,,,,560035,Bangalore South,BANGALORE,KARNATAKA
7,Hadosiddapura,Carmelram S.O,12.891087400000002,77.70250856703629,12.889293499999999,12.892888699999999,77.7008455,77.7038844,560035,Bangalore South,BANGALORE,KARNATAKA
8,Kaikondahalli,Carmelram S.O,,,,,,,560035,Bangalore South,BANGALORE,KARNATAKA
9,Doddakannalli,Carmelram S.O,,,,,,,560035,Bangalore South,BANGALORE,KARNATAKA
10,Halanayakanahalli,Carmelram S.O,12.901463099999999,77.6883792,12.9014131,12.901513099999999,77.6883292,77.6884292,560035,Bangalore South,BANGALORE,KARNATAKA
11,Chikkanayakanahalli,Carmelram S.O,12.892338,77.69419859999999,12.872338000000001,12.912338,77.6741986,77.71419859999999,560035,Bangalore South,BANGALORE,KARNATAKA
12,Kodathi,Carmelram S.O,12.8965674,77.7201192,12.8965174,12.8966174,77.7200692,77.7201692,560035,Bangalore South,BANGALORE,KARNATAKA
13,Chikkabellandur,Carmelram S.O,,,,,,,560035,Bangalore South,BANGALORE,KARNATAKA
14,Junnasandra,Carmelram S.O,12.905398199999999,77.6844723,12.9016086,12.9107158,77.68346240000001,77.68837370000001,560035,Bangalore South,BANGALORE,KARNATAKA
15,Mulluru,Carmelram S.O,12.904873199999999,77.7251308,12.8848732,12.924873199999999,77.70513079999999,77.7451308,560035,Bangalore South,BANGALORE,KARNATAKA
16,Kithiganur,Krishnarajapuram S.O,,,,,,,560036,Bangalore South,BANGALORE,KARNATAKA
17,Halehalli,Krishnarajapuram S.O,12.739057699999998,77.7513903,12.719057699999999,12.7590577,77.73139029999999,77.7713903,560036,Bangalore South,BANGALORE,KARNATAKA
18,Varanasi,Krishnarajapuram S.O,13.0304962,77.6860657,13.0304462,13.0305462,77.6860157,77.6861157,560036,Bangalore South,BANGALORE,KARNATAKA
19,Maragondanahalli,Krishnarajapuram S.O,13.2035418,77.57607209999999,13.1835418,13.223541800000001,77.5560721,77.59607209999999,560036,Bangalore South,BANGALORE,KARNATAKA
20,Rachenahalli,Arabic College S.O,13.057295300000002,77.62770640000001,13.057245300000002,13.057345300000001,77.6276564,77.6277564,560045,Bangalore South,BANGALORE,KARNATAKA
21,Amani Byrathikhane,Arabic College S.O,,,,,,,560045,Bangalore South,BANGALORE,KARNATAKA
22,Thanisandra,Arabic College S.O,13.054713000000001,77.63392579999999,13.038345699999999,13.077044099999998,77.59785500000001,77.6382498,560045,Bangalore South,BANGALORE,KARNATAKA
23,Adur,Bidrahalli B.O,,,,,,,560049,Bangalore South,BANGALORE,KARNATAKA
24,Gundur,Bidrahalli B.O,13.0868953,77.71418919999999,13.0668953,13.106895300000001,77.6941892,77.7341892,560049,Bangalore South,BANGALORE,KARNATAKA
25,Hancharahalli,Mundur B.O,13.0929065,77.7501562,13.0729065,13.1129065,77.73015620000001,77.7701562,560049,Bangalore South,BANGALORE,KARNATAKA
26,Medihalli,Virgonagar S.O,12.9681562,77.845242,12.9481562,12.988156199999999,77.825242,77.86524200000001,560049,Hosakote,BANGALORE RURAL,KARNATAKA
27,Vanajanahalli,Mundur B.O,,,,,,,560049,Bangalore South,BANGALORE,KARNATAKA
28,Bandapura,Virgonagar S.O,13.0392632,77.74783670000001,13.0192632,13.0592632,77.72783670000001,77.7678367,560049,Bangalore South,BANGALORE,KARNATAKA
29,Bidarahalli,Bidrahalli B.O,13.0605545,77.7156056,13.040554499999999,13.0805545,77.6956056,77.7356056,560049,Bangalore South,BANGALORE,KARNATAKA
30,Honachanahalli,Mundur B.O,13.0190882,77.8547532,12.9990882,13.0390882,77.8347532,77.8747532,560049,Hosakote,BANGALORE RURAL,KARNATAKA
31,Kammasandra,Bidrahalli B.O,13.0345017,77.4391224,13.014501699999999,13.0545017,77.4191224,77.4591224,560049,Bangalore South,BANGALORE,KARNATAKA
32,Kodigehalli,Mundur B.O,13.3352382,77.6378555,13.315238199999998,13.355238199999999,77.6178555,77.65785550000001,560049,Bangalore South,BANGALORE,KARNATAKA
33,Rampura,Bidrahalli B.O,12.8411343,77.32713100000001,12.8211343,12.861134300000002,77.30713100000001,77.347131,560049,Bangalore South,BANGALORE,KARNATAKA
34,Avalahalli,Virgonagar S.O,13.035277699999998,77.7365655,13.015277699999999,13.0552777,77.7165655,77.75656550000001,560049,Bangalore South,BANGALORE,KARNATAKA
35,Kurudusonnenahalli,Virgonagar S.O,,,,,,,560049,Bangalore South,BANGALORE,KARNATAKA
36,Raghuvanahalli,Mundur B.O,12.881115600000001,77.54624240000001,12.8810656,12.881165600000001,77.54619240000001,77.54629240000001,560049,Bangalore South,BANGALORE,KARNATAKA
37,Bommenahalli,Mundur B.O,13.074253599999999,77.7465943,13.0542536,13.0942536,77.7265943,77.7665943,560049,Bangalore South,BANGALORE,KARNATAKA
38,Chikkasandra,Bidrahalli B.O,,,,,,,560049,Bangalore South,BANGALORE,KARNATAKA
39,Huskur,Mundur B.O,12.8607674,77.70710190000001,12.8407674,12.8807674,77.6871019,77.72710190000001,560049,Bangalore South,BANGALORE,KARNATAKA
40,Jothipura,Mundur B.O,,,,,,,560049,Bangalore South,BANGALORE,KARNATAKA
41,Shringaripura,Mundur B.O,,,,,,,560049,Bangalore South,BANGALORE,KARNATAKA
42,Bendiganahalli,Mundur B.O,13.217348199999998,77.8337043,13.197348199999999,13.2373482,77.8137043,77.85370429999999,560049,Bangalore South,BANGALORE,KARNATAKA
43,Byappanahalli,Bidrahalli B.O,13.072125699999999,77.7200164,13.0521257,13.0921257,77.70001640000001,77.74001640000002,560049,Bangalore South,BANGALORE,KARNATAKA
44,Katamnallur,Virgonagar S.O,,,,,,,560049,Bangalore South,BANGALORE,KARNATAKA
45,Marasandra Amanikere,Mundur B.O,,,,,,,560049,Bangalore North,BANGALORE,KARNATAKA
46,Nimbekaipura,Mundur B.O,13.0585572,77.75646479999999,13.038557199999998,13.078557199999999,77.7364648,77.7764648,560049,Bangalore South,BANGALORE,KARNATAKA
47,Vaderahalli,Bidrahalli B.O,12.7374961,77.3013277,12.7174961,12.7574961,77.2813277,77.3213277,560049,Bangalore North,BANGALORE,KARNATAKA
48,Veerenahalli,Virgonagar S.O,,,,,,,560049,Bangalore South,BANGALORE,KARNATAKA
49,Cheemasandra,Virgonagar S.O,13.0585212,77.73448044970971,13.057114599999998,13.059731300000001,77.7327837,77.7359993,560049,Bangalore South,BANGALORE,KARNATAKA
50,Hirandahalli,Bidrahalli B.O,13.046808500000001,77.72278109999999,13.026808500000001,13.0668085,77.7027811,77.7427811,560049,Bangalore South,BANGALORE,KARNATAKA
51,Huvinane,Virgonagar S.O,,,,,,,560049,Bangalore South,BANGALORE,KARNATAKA
52,Kattugollahalli,Mundur B.O,13.095844900000001,77.7353505,13.075844900000002,13.115844899999999,77.7153505,77.7553505,560049,Bangalore South,BANGALORE,KARNATAKA
53,Bidare Agrahara,Virgonagar S.O,13.030921099999999,77.7427748,13.0109211,13.0509211,77.7227748,77.7627748,560049,Bangalore South,BANGALORE,KARNATAKA
54,Konadasapura,Virgonagar S.O,13.044192599999999,77.75664090000001,13.0241926,13.064192599999998,77.73664090000001,77.7766409,560049,Bangalore South,BANGALORE,KARNATAKA
55,Mandur,Mundur B.O,13.0816555,77.7370228,13.061655499999999,13.1016555,77.7170228,77.7570228,560049,Bangalore South,BANGALORE,KARNATAKA
56,Marasandra,Mundur B.O,13.2004544,77.4426473,13.180454399999999,13.2204544,77.4226473,77.4626473,560049,Bangalore North,BANGALORE,KARNATAKA
57,Ullalu Upanagara DBO,Bnagalore Viswavidalaya S.O,,,,,,,560056,Bangalore South,BANGALORE,KARNATAKA
58,Mallathahalli NDBO,Bnagalore Viswavidalaya S.O,,,,,,,560056,Bangalore South,BANGALORE,KARNATAKA
59,Doddabele,Chudenapura B.O,13.223065400000001,77.33768459999999,13.203065400000002,13.2430654,77.31768459999999,77.35768459999998,560060,Bangalore South,BANGALORE,KARNATAKA
60,Hemmigepura,Chudenapura B.O,12.8819289,77.4854975,12.8619289,12.9019289,77.4654975,77.5054975,560060,Bangalore South,BANGALORE,KARNATAKA
61,Kommaghatta - Krishnasagara,Sulikere B.O,,,,,,,560060,Bangalore South,BANGALORE,KARNATAKA
62,M.Krishnasagara,Sulikere B.O,,,,,,,560060,Bangalore South,BANGALORE,KARNATAKA
63,Somapura,Chudenapura B.O,13.225153899999999,77.25828241163249,13.213587799999999,13.236220800000002,77.24464470000001,77.2830969,560060,Bangalore South,BANGALORE,KARNATAKA
64,Varahasandra,Kengeri S.O,,,,,,,560060,Bangalore South,BANGALORE,KARNATAKA
65,Kenchanapura,Sulikere B.O,12.9580986,77.45004820000001,12.938098599999998,12.9780986,77.4300482,77.47004820000001,560060,Bangalore South,BANGALORE,KARNATAKA
66,Lingadheeranahalli,Kengeri S.O,,,,,,,560060,Bangalore South,BANGALORE,KARNATAKA
67,Ramasandra,Sulikere B.O,13.1199827,77.9494105,13.099982699999998,13.1399827,77.9294105,77.9694105,560060,Bangalore South,BANGALORE,KARNATAKA
68,Sulikere,Sulikere B.O,12.9389629,77.4475916,12.9189629,12.9589629,77.4275916,77.46759159999999,560060,Bangalore South,BANGALORE,KARNATAKA
69,Bheemanakuppe- Ramasagara,Sulikere B.O,,,,,,,560060,Bangalore South,BANGALORE,KARNATAKA
70,Sonnenahalli,Sulikere B.O,13.1979489,77.5003487,13.1779489,13.2179489,77.48034870000001,77.52034870000001,560060,Bangalore South,BANGALORE,KARNATAKA
71,Manganahalli,Sulikere B.O,12.9526755,77.48414079999999,12.9526255,12.9527255,77.48409079999999,77.4841908,560060,Bangalore North,BANGALORE,KARNATAKA
72,Kengeri Gollahalli,Chudenapura B.O,12.9199402,77.4833485,12.8975897,12.933363,77.4601025,77.49913659999999,560060,Bangalore South,BANGALORE,KARNATAKA
73,Kommaghatta,Sulikere B.O,12.9099075,77.4506663,12.8899075,12.9299075,77.4306663,77.47066629999999,560060,Bangalore South,BANGALORE,KARNATAKA
74,Thurahalli,Subramanyapura S.O,,,,,,,560061,Bangalore South,BANGALORE,KARNATAKA
75,Badamanavarthekaval,Subramanyapura S.O,,,,,,,560061,Bangalore South,BANGALORE,KARNATAKA
76,Gabbalalu,Subramanyapura S.O,,,,,,,560061,Bangalore South,BANGALORE,KARNATAKA
77,Vasanthapura,Subramanyapura S.O,12.88929715,77.55955229173571,12.875307099999999,12.9034737,77.54757009999999,77.57208359999998,560061,Bangalore South,BANGALORE,KARNATAKA
78,Thirumenahalli,Yelahanka S.O,13.1109329,77.7530531,13.0909329,13.1309329,77.73305309999999,77.7730531,560064,Bangalore North,BANGALORE,KARNATAKA
79,Bellahalli,Yelahanka Satellite Town S.O,13.0997677,77.6427148,13.0797677,13.119767699999999,77.6227148,77.66271479999999,560064,Bangalore North,BANGALORE,KARNATAKA
80,Jarakbandekaval,Yelahanka S.O,,,,,,,560064,Bangalore North,BANGALORE,KARNATAKA
81,Kempanahalli,Attur B.O,13.445496499999999,77.8621331,13.4254965,13.4654965,77.84213309999998,77.88213309999999,560064,Bangalore North,BANGALORE,KARNATAKA
82,Kenchenahalli,Yelahanka S.O,12.935705699999998,77.51822220000001,12.9349859,12.935872900000001,77.5178652,77.51830009999999,560064,Bangalore North,BANGALORE,KARNATAKA
83,Naganahalli,Singanayakanahalli B.O,12.98077,77.36101020000001,12.96077,13.00077,77.34101020000001,77.3810102,560064,Bangalore South,BANGALORE,KARNATAKA
84,Adiganahalli,Rajanakunte B.O,,,,,,,560064,Bangalore North,BANGALORE,KARNATAKA
