,Pincode,latitude,longitude,BB_lat_1,BB_lat_2,BB_lon_1,BB_lon_2
0,560001,,,,,,
1,560002,,,,,,
2,560003,,,,,,
3,560004,,,,,,
4,560005,,,,,,
5,560006,,,,,,
6,560007,,,,,,
7,560008,,,,,,
8,560009,,,,,,
9,560010,,,,,,
10,560011,,,,,,
11,560012,,,,,,
12,560013,,,,,,
13,560015,,,,,,
14,560016,,,,,,
15,560017,,,,,,
16,560018,,,,,,
17,560020,,,,,,
18,560021,,,,,,
19,560022,,,,,,
20,560023,,,,,,
21,560024,,,,,,
22,560025,,,,,,
23,560026,,,,,,
24,560027,,,,,,
25,560029,,,,,,
26,560030,,,,,,
27,560032,,,,,,
28,560033,,,,,,
29,560034,,,,,,
30,560035,,,,,,
31,560036,,,,,,
32,560037,,,,,,
33,560038,,,,,,
34,560040,,,,,,
35,560041,,,,,,
36,560042,,,,,,
37,560043,,,,,,
38,560045,,,,,,
39,560046,,,,,,
40,560047,,,,,,
41,560048,,,,,,
42,560049,,,,,,
43,560050,,,,,,
44,560051,,,,,,
45,560053,,,,,,
46,560054,,,,,,
47,560055,,,,,,
48,560056,,,,,,
49,560057,,,,,,
50,560058,,,,,,
51,560059,,,,,,
52,560060,,,,,,
53,560061,,,,,,
54,560062,,,,,,
55,560063,,,,,,
56,560064,,,,,,
57,560065,,,,,,
58,560066,,,,,,
59,560067,,,,,,
60,560068,,,,,,
61,560070,,,,,,
62,560071,,,,,,
63,560072,,,,,,
64,560073,,,,,,
65,560074,,,,,,
66,560075,,,,,,
67,560076,,,,,,
68,560077,,,,,,
69,560078,,,,,,
70,560079,,,,,,
71,560080,,,,,,
72,560081,,,,,,
73,560082,,,,,,
74,560083,,,,,,
75,560084,,,,,,
76,560085,,,,,,
77,560086,,,,,,
78,560087,,,,,,
79,560088,,,,,,
80,560089,,,,,,
81,560090,,,,,,
82,560091,,,,,,
83,560092,,,,,,
84,560093,,,,,,
85,560094,,,,,,
86,560095,,,,,,
87,560096,,,,,,
88,560097,,,,,,
89,560098,,,,,,
90,560099,,,,,,
91,560100,,,,,,
92,560102,,,,,,
93,560103,,,,,,
94,560104,,,,,,
95,560105,,,,,,
96,560107,,,,,,
97,560108,,,,,,
98,560109,,,,,,
99,560110,,,,,,
100,560111,,,,,,
101,560300,,,,,,
102,561101,,,,,,
103,561201,,,,,,
104,561203,,,,,,
105,561204,,,,,,
106,561205,,,,,,
107,562102,,,,,,
108,562106,,,,,,
109,562107,,,,,,
110,562109,,,,,,
111,562110,,,,,,
112,562111,,,,,,
113,562114,,,,,,
114,562117,,,,,,
115,562120,,,,,,
116,562122,,,,,,
117,562123,,,,,,
118,562125,,,,,,
119,562126,,,,,,
120,562127,,,,,,
121,562128,,,,,,
122,562129,,,,,,
123,562130,,,,,,
124,562132,,,,,,
125,562135,,,,,,
126,562149,,,,,,
127,562157,,,,,,
128,562159,,,,,,
129,562162,,,,,,
130,562163,,,,,,
131,562164,,,,,,
