,Village/Locality name,Officename ( BO/SO/HO),latitude,longitude,BB_lat_1,BB_lat_2,BB_lon_1,BB_lon_2,Pincode,Sub-distname,Districtname,StateName
0,Bangalore North,Vidhana Soudha S.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560001,Bangalore North,BANGALORE,KARNATAKA
1,Bangalore North,HighCourt S.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560001,Bangalore North,BANGALORE,KARNATAKA
2,Bangalore North,Dr. Ambedkar Veedhi S.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560001,Bangalore North,BANGALORE,KARNATAKA
3,Bangalore North,Legislators Home S.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560001,Bangalore North,BANGALORE,KARNATAKA
4,Bangalore North,Rajbhavan S.O (Bangalore),12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560001,Bangalore North,BANGALORE,KARNATAKA
5,Bangalore North,Mahatma Gandhi Road S.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560001,Bangalore North,BANGALORE,KARNATAKA
6,Bangalore North,Bangalore Bazaar S.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560001,Bangalore North,BANGALORE,KARNATAKA
7,Bangalore North,Bangalore G.P.O.,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560001,Bangalore North,BANGALORE,KARNATAKA
8,Bangalore North,Bangalore City S.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560002,Bangalore North,BANGALORE,KARNATAKA
9,Bangalore South,Bangalore Corporation Building S.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560002,Bangalore South,BANGALORE,KARNATAKA
10,Bangalore North,Malleswaram S.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560003,Bangalore North,BANGALORE,KARNATAKA
11,Bangalore North,Vyalikaval Extn S.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560003,Bangalore North,BANGALORE,KARNATAKA
12,Bangalore North,Palace Guttahalli S.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560003,Bangalore North,BANGALORE,KARNATAKA
13,Bangalore North,Swimming Pool Extn S.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560003,Bangalore North,BANGALORE,KARNATAKA
14,Bangalore South,Basavanagudi H.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560004,Bangalore South,BANGALORE,KARNATAKA
15,Bangalore South,Gaviopuram Extension S.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560004,Bangalore South,BANGALORE,KARNATAKA
16,Bangalore South,Mavalli S.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560004,Bangalore South,BANGALORE,KARNATAKA
17,Bangalore South,Pampamahakavi Road S.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560004,Bangalore South,BANGALORE,KARNATAKA
18,Bangalore North,Fraser Town S.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560005,Bangalore North,BANGALORE,KARNATAKA
19,Bangalore North,J.C.Nagar S.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560006,Bangalore North,BANGALORE,KARNATAKA
20,Bangalore North,Training Command IAF S.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560006,Bangalore North,BANGALORE,KARNATAKA
21,Bangalore North,Air Force Hospital S.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560007,Bangalore North,BANGALORE,KARNATAKA
22,Bangalore South,Agram S.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560007,Bangalore South,BANGALORE,KARNATAKA
23,Bangalore North,H.A.L II Stage H.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560008,Bangalore North,BANGALORE,KARNATAKA
24,Bangalore North,Hulsur Bazaar S.O,12.9791198,77.5912997,12.8340125,13.1436649,77.4601025,77.7840515,560008,Bangalore North,BANGALORE,KARNATAKA
